Index,Make,Model,City Mpg For Fuel Type1,Co2 Fuel Type1,Cylinders,Drive,Annual Fuel Cost For Fuel Type1,Fuel Type,Transmission,Vehicle Size Class,Year,ATV Type,Electric motor,baseModel,Price,cluster_label
661,Mercedes-Benz,C300 Coupe,22,351,4,Rear-Wheel Drive,2850,Premium,Automatic 9-spd,Subcompact Cars,2023,Petrol,Not Electric,C-Class,"$49,550",1
662,Dodge,Durango AWD,18,430,6,All-Wheel Drive,2750,Regular,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Durango,"$1,824",1
663,Tesla,Model S,124,0,0,All-Wheel Drive,600,Electricity,Automatic (A1),Large Cars,2023,EV,247 and 247 kW AC 3-Phase,Model S,"$88,490,",2
664,Porsche,Cayenne Turbo S e-Hybrid,17,320,8,All-Wheel Drive,4000,Premium and Electricity,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Plug-in Hybrid,99 kW DC Brushless,Cayenne,"$137,350",0
665,Subaru,Impreza Sport 5-Door,22,351,4,All-Wheel Drive,2350,Regular,Manual 5-spd,Small Station Wagons,2023,Petrol,Not Electric,Impreza,"$56,232",1
666,Buick,Envision FWD,23,337,4,Front-Wheel Drive,2250,Regular,Automatic (S9),Small Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Envision,"$34,795",3
667,Lincoln,Aviator RWD,18,424,6,Rear-Wheel Drive,2750,Regular,Automatic (S10),Standard Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Aviator,"$54,735",3
668,Mercedes-Benz,AMG GLA45 4matic,20,407,4,All-Wheel Drive,3250,Premium,Automatic (AM8),Small Station Wagons,2023,Petrol,Not Electric,GLA-Class,"$50,650",3
669,BMW,X5 M,13,586,8,All-Wheel Drive,4800,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,X5,"$109,895",1
670,Land Rover,New Range Rover Sport,16,508,8,4-Wheel Drive,4000,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Range Rover,"$84,475",1
671,Ford,F150 RAPTOR 4WD,14,593,6,Part-time 4-Wheel Drive,3900,Regular,Automatic (S10),Standard Pickup Trucks 4WD,2023,Petrol,Not Electric,F150,"$78,720",0
672,Rivian,R1S 21 inch Performance Dual Large,82,0,0,Part-time 4-Wheel Drive,900,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,2023,EV,496 kW ACPM,R1S,"$78,000",2
673,Ford,Bronco Sasquatch 4WD,17,531,6,Part-time 4-Wheel Drive,3400,Regular,Automatic (S10),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Bronco,"$32,805",3
674,GMC,Acadia FWD,19,404,6,Front-Wheel Drive,2650,Regular,Automatic 9-spd,Standard Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Acadia,"$38,195",3
675,Nissan,Versa,32,254,4,Front-Wheel Drive,1650,Regular,Automatic (variable gear ratios),Compact Cars,2023,Petrol,Not Electric,Versa,"$50,000",1
676,Ram,1500 Classic 2WD,15,523,8,Rear-Wheel Drive,3950,Midgrade,Automatic 8-spd,Standard Pickup Trucks 2WD,2023,Petrol,Not Electric,1500,"$30,110",0
677,Dodge,Charger,19,389,6,Rear-Wheel Drive,2550,Regular,Automatic 8-spd,Large Cars,2023,Petrol,Not Electric,Charger,"$36,920",1
678,Mercedes-Benz,CLS450 4matic,22,357,6,All-Wheel Drive,2850,Premium,Automatic 9-spd,Compact Cars,2023,Hybrid,48V Li-Ion,CLS-Class,"$77,650",3
679,Toyota,Tacoma 2WD,20,423,4,Rear-Wheel Drive,2750,Regular,Automatic (S6),Small Pickup Trucks 2WD,2023,Petrol,Not Electric,Tacoma,"$27,250",3
680,Toyota,Tacoma 4WD,19,441,4,Part-time 4-Wheel Drive,2900,Regular,Automatic (S6),Small Pickup Trucks 4WD,2023,Petrol,Not Electric,Tacoma,"$27,250",0
681,Ford,Explorer Timberline AWD,19,433,4,Part-time 4-Wheel Drive,2750,Regular,Automatic (S10),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Explorer,"$50,405",3
682,Toyota,Sienna 2WD,36,246,4,Front-Wheel Drive,1600,Regular,Automatic (AV-S6),Minivan - 2WD,2023,Hybrid,288V Ni-MH,Sienna,"$36,885",0
683,Audi,e-tron quattro,78,0,0,All-Wheel Drive,900,Electricity,Automatic (A2),Standard Sport Utility Vehicle 4WD,2023,EV,TBD,e-tron,"$70,800 - $86,400",2
684,Nissan,ARIYA ENGAGE FWD 63kWh,109,0,0,Front-Wheel Drive,700,Electricity,Automatic (A1),Small Station Wagons,2023,EV,TBD,ARIYA,"$1,900",2
685,Porsche,911 Carrera 4S Cabriolet,17,452,6,All-Wheel Drive,3600,Premium,Manual 7-spd,Minicompact Cars,2023,Petrol,Not Electric,911,"$107,550",3
686,Porsche,911 Carrera 4 GTS Cabriolet,17,463,6,All-Wheel Drive,3750,Premium,Automatic (AM-S8),Minicompact Cars,2023,Petrol,Not Electric,911,"$107,550",3
687,Ford,F150 Pickup 2WD HEV,25,352,6,Rear-Wheel Drive,2350,Regular,Automatic (S10),Standard Pickup Trucks 2WD,2023,Hybrid,281V Li-Ion,F150,"$34,585",0
688,Tesla,Model X Plaid (22 inch wheels),94,0,0,All-Wheel Drive,800,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,2023,EV,"230, 230 and 230 kW AC 3-Phase",Model X,"$98,490",2
689,Jeep,Grand Cherokee 4xe,23,177,4,4-Wheel Drive,2550,Regular Gas and Electricity,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,2023,Plug-in Hybrid,100 kW AC Induction,Grand Cherokee,"$60,360",0
690,Jeep,Cherokee Trailhawk 4WD,20,400,4,All-Wheel Drive,2650,Regular,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Cherokee,"$41,295",3
691,Lucid,Air Pure AWD with 19 inch wheels,141,0,0,All-Wheel Drive,500,Electricity,Automatic (A1),Large Cars,2023,EV,TBD,Air,"$94,550",2
692,Lincoln,Nautilus FWD,21,387,4,Front-Wheel Drive,2550,Regular,Automatic (S8),Small Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Nautilus,"$46,220",1
693,Ford,Mustang Mach-E RWD LFP,107,0,0,Rear-Wheel Drive,700,Electricity,Automatic (A1),Small Sport Utility Vehicle 2WD,2023,EV,198 kW ACPM,Mustang Mach-E,"$42,995",2
694,Kia,Stinger RWD,18,437,6,Rear-Wheel Drive,3600,Premium,Automatic (S8),Midsize Cars,2023,Petrol,Not Electric,Stinger,"$36,590",1
695,Genesis,G80 RWD,22,346,4,Rear-Wheel Drive,2750,Premium,Automatic (S8),Large Cars,2023,Petrol,Not Electric,G80,"$1,824",1
696,Lamborghini,Huracan Coupe,13,596,10,All-Wheel Drive,4800,Premium,Automatic (AM-S7),Two Seaters,2023,Petrol,Not Electric,Huracan,"$212,090",1
697,Lamborghini,Huracan Spyder 2WD,13,593,10,Rear-Wheel Drive,4800,Premium,Automatic (AM-S7),Two Seaters,2023,Petrol,Not Electric,Huracan,"$212,090",1
698,Toyota,GR 86,21,360,4,Rear-Wheel Drive,2850,Premium,Automatic (S6),Minicompact Cars,2023,Petrol,Not Electric,GR 86,"$29,495",1
699,Land Rover,New Range Rover P400 LWB MHEV,18,427,6,4-Wheel Drive,3400,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Hybrid,48V Li-Ion,Range Rover,"$104,500",3
700,Lincoln,Nautilus AWD,20,404,4,All-Wheel Drive,2650,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Nautilus,"$46,220",1
701,Chrysler,300,16,466,8,Rear-Wheel Drive,3500,Midgrade,Automatic 8-spd,Large Cars,2023,Petrol,Not Electric,300,"$42,200",0
702,Volvo,XC60 B5,23,342,4,Front-Wheel Drive,2750,Premium,Automatic (S8),Small Sport Utility Vehicle 2WD,2023,Hybrid,46V Li-Ion,XC60,"$43,450 - $74,150",3
703,Ford,Explorer HEV RWD,27,324,6,Rear-Wheel Drive,2150,Regular,Automatic 10-spd,Standard Sport Utility Vehicle 2WD,2023,Hybrid,280V Li-Ion,Explorer,"$53,005 - $55,820",0
704,BMW,X5 M50i,16,486,8,All-Wheel Drive,4000,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,X5,"$85,400",1
705,Audi,Q7,18,453,6,All-Wheel Drive,3600,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Hybrid,48V Li-Ion,Q7,"$60,395",3
706,GMC,Yukon 4WD,15,527,8,4-Wheel Drive,3400,Regular,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Yukon,"$1,824",3
707,Audi,R8 Coupe quattro,13,580,10,All-Wheel Drive,4800,Premium,Automatic (AM-S7),Two Seaters,2023,Petrol,Not Electric,R8,"$253,290",1
708,Porsche,Panamera 4S Executive,17,469,6,All-Wheel Drive,3750,Premium,Automatic (AM-S8),Large Cars,2023,Petrol,Not Electric,Panamera,"$147,364",3
709,Porsche,Panamera 4S ST,17,469,6,All-Wheel Drive,3750,Premium,Automatic (AM-S8),Large Cars,2023,Petrol,Not Electric,Panamera,"$93,850",3
710,Hyundai,Sonata Hybrid Blue,50,172,4,Front-Wheel Drive,1100,Regular,Automatic (AM-S6),Large Cars,2023,Hybrid,270V Li-Ion,Sonata,"$27,950,",0
711,Audi,Q3 S-Line,21,375,4,All-Wheel Drive,2400,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Q3,"$37,995",1
712,BMW,X1 xDrive28i,25,313,4,All-Wheel Drive,2550,Premium,Automatic (AM-S7),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,X1,"$40,095",3
713,GMC,Yukon XL 2WD,14,555,8,Rear-Wheel Drive,4500,Premium,Automatic 10-spd,Standard Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Yukon,"$62,235",3
714,Chevrolet,Bolt EV,131,0,0,Front-Wheel Drive,600,Electricity,Automatic (A1),Small Station Wagons,2023,EV,150 kW ACPM,Bolt EV,"$27,495",2
715,Polestar,2 BST edition,98,0,0,All-Wheel Drive,750,Electricity,Automatic (A1),Midsize Cars,2023,EV,150 and 150 kW ACPMSM,2,"$49,800",2
716,Toyota,4Runner 2WD,16,503,6,Rear-Wheel Drive,3400,Regular,Automatic (S5),Standard Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,4Runner,"$39,555",3
717,Lincoln,Corsair AWD,21,374,4,All-Wheel Drive,2400,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Corsair,"$40,085",1
718,Mercedes-Benz,AMG SL55 4matic Plus,13,562,8,All-Wheel Drive,4500,Premium,Automatic 9-spd,Minicompact Cars,2023,Petrol,Not Electric,SL-Class,"$140,150",3
719,Toyota,4Runner 4WD,16,519,6,All-Wheel Drive,3400,Regular,Automatic (S5),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,4Runner,$49390,3
720,Land Rover,New Range Rover P400 MHEV,18,427,6,4-Wheel Drive,3400,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Hybrid,48V Li-Ion,Range Rover,"$105,975",3
721,Vinfast,VF 8 Eco,89,0,0,All-Wheel Drive,800,Electricity,Automatic (A1),Special Purpose Vehicle 4WD,2023,EV,130 and 130 kW ACPM 3-Phase,VF 8,"$50,200",2
722,Porsche,Cayenne Turbo,14,553,8,All-Wheel Drive,4500,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Cayenne,"$137,350",1
723,Lexus,LS 500h AWD,22,358,6,All-Wheel Drive,2850,Premium,Automatic (AV-S10),Midsize Cars,2023,Hybrid,311V Li-Ion,LS,"$1,824",0
724,Lexus,GX 460,15,542,8,4-Wheel Drive,4500,Premium,Automatic (S6),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,GX,"$58,629",1
725,Toyota,Corolla Hatchback,32,252,4,Front-Wheel Drive,1650,Regular,Automatic (AV-S10),Compact Cars,2023,Petrol,Not Electric,Corolla,"$22,965",3
726,Mercedes-Benz,C300 Convertible,21,370,4,Rear-Wheel Drive,3000,Premium,Automatic 9-spd,Subcompact Cars,2023,Petrol,Not Electric,C-Class,"$46,950",1
727,Land Rover,New Range Rover P360 MHEV,18,427,6,4-Wheel Drive,3400,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Hybrid,48V Li-Ion,Range Rover,"$105,975",3
728,Mercedes-Benz,E350,23,342,4,Rear-Wheel Drive,2750,Premium,Automatic 9-spd,Midsize Cars,2023,Petrol,Not Electric,E-Class,"$57,112",1
729,Genesis,GV60 ADVANCE,103,0,0,All-Wheel Drive,750,Electricity,Automatic (A1),Large Cars,2023,EV,74 and 160 kW PMSM,GV60,"$60,415",2
730,MINI,Cooper SE Countryman All4,29,175,3,All-Wheel Drive,2450,Premium and Electricity,Automatic (S6),Midsize Cars,2023,Plug-in Hybrid,65 kW AC Induction,Countryman,"$30,104",0
731,Nissan,ARIYA ENGAGE e-4ORCE 63kWh,101,0,0,All-Wheel Drive,750,Electricity,Automatic (A1),Small Station Wagons,2023,EV,160 and 160 AC 3-phase,ARIYA,"$7,500",2
732,Mazda,MX-30,98,0,0,Front-Wheel Drive,750,Electricity,Automatic (A1),Midsize Cars,2023,EV,81 kW AC PMSM,MX-30,"$35,485",2
733,Ford,Mustang Mach-E GT Performance,90,0,0,All-Wheel Drive,850,Electricity,Automatic (A1),Small Sport Utility Vehicle 4WD,2023,EV,179 and 179 kW AC PMSM,Mustang Mach-E,"$41,695",2
734,GMC,Canyon Mud Terrain Tires 4WD,17,495,4,4-Wheel Drive,3250,Regular,Automatic 8-spd,Small Pickup Trucks 4WD,2023,Petrol,Not Electric,Canyon,"$38,395",0
735,Lexus,IS 300 AWD,19,407,6,All-Wheel Drive,3250,Premium,Automatic (S6),Compact Cars,2023,Petrol,Not Electric,IS,"$1,824",1
736,Bugatti,Chiron,9,840,16,All-Wheel Drive,6500,Premium,Automatic (AM-S7),Two Seaters,2023,Petrol,Not Electric,Chiron,"$3,300,000",1
737,Porsche,Taycan Turbo S Cross Turismo,76,0,0,All-Wheel Drive,950,Electricity,Automatic (A2),Midsize Cars,2023,EV,190 and 335 kW ACPM,Taycan,"$202,401",2
738,Audi,R8 GT RWD,14,527,10,Rear-Wheel Drive,4200,Premium,Automatic (AM-S7),Two Seaters,2023,Petrol,Not Electric,R8,"$253,290",1
739,Mercedes-Benz,E450 4matic All-Terrain (wagon),21,374,6,All-Wheel Drive,3000,Premium,Automatic 9-spd,Midsize Station Wagons,2023,Hybrid,48V Li-Ion,E-Class,"$72,400",0
740,Toyota,RAV4 AWD,27,301,4,All-Wheel Drive,2000,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,RAV4,"$29,625",1
741,Porsche,911 Targa 4 GTS,16,477,6,All-Wheel Drive,3750,Premium,Manual 7-spd,Minicompact Cars,2023,Petrol,Not Electric,911,"$106,880",3
742,Ford,Explorer FFV AWD,17,444,6,Part-time 4-Wheel Drive,2900,Gasoline or E85,Automatic 10-spd,Standard Sport Utility Vehicle 4WD,2023,FFV,Not Electric,Explorer,"$52,875",0
743,Nissan,Rogue AWD SL/Platinum,28,287,3,All-Wheel Drive,1900,Regular,Automatic (AV-S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Rogue,"$57,073",3
744,Mercedes-Benz,AMG G 63 4x4 Squared,10,817,8,4-Wheel Drive,6500,Premium,Automatic 9-spd,Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,G-Class,"$179,000",3
745,Toyota,Highlander AWD,21,371,4,All-Wheel Drive,2400,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Highlander,"$38,015",1
746,Ford,F150 Pickup 2WD FFV,17,465,8,Rear-Wheel Drive,3050,Gasoline or E85,Automatic (S10),Standard Pickup Trucks 2WD,2023,FFV,Not Electric,F150,"$33,695",3
747,Ford,MUSTANG MACH-E CAL RT 1 ER AWD,105,0,0,All-Wheel Drive,700,Electricity,Automatic (A1),Small Sport Utility Vehicle 4WD,2023,EV,258 and 258 kW AC PMSM,Mustang Mach-E,"$41,695",2
748,Mercedes-Benz,AMG C43 4matic,19,403,4,All-Wheel Drive,3250,Premium,Automatic 9-spd,Compact Cars,2023,Hybrid,48V Li-Ion,C-Class,"$61,050",3
749,Chevrolet,Colorado 2WD,18,446,4,Rear-Wheel Drive,2900,Regular,Automatic 8-spd,Small Pickup Trucks 2WD,2023,Petrol,Not Electric,Colorado,"$1,824",3
750,Cadillac,LYRIQ AWD,96,0,0,All-Wheel Drive,800,Electricity,Automatic (A1),Small Sport Utility Vehicle 4WD,2023,EV,155 and 220 kW ACPM,LYRIQ,"$59,990",2
751,Nissan,Rogue FWD SL/Platinum,29,278,3,Front-Wheel Drive,1800,Regular,Automatic (AV-S8),Small Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Rogue,"$57,073",3
752,Lucid,Air GT P AWD with 21 inch wheels,110,0,0,All-Wheel Drive,650,Electricity,Automatic (A1),Large Cars,2023,EV,TBD,Air,$6000,2
753,Toyota,Corolla Cross 4WD,29,293,4,All-Wheel Drive,1950,Regular,Automatic (AV-S10),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Corolla Cross,"$27,150",3
754,Nissan,Pathfinder 4WD SL/Platinum,20,396,6,4-Wheel Drive,2650,Regular,Automatic (S9),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Pathfinder,"$36,710",3
755,Ferrari,Monza SP2,12,658,12,Rear-Wheel Drive,5500,Premium,Automatic (AM7),Two Seaters,2023,Petrol,Not Electric,Monza SP2,"$1,800,000",1
756,Audi,e-tron S (20 inch wheels),72,0,0,All-Wheel Drive,950,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,2023,EV,TBD,e-tron S,"$66,800",2
757,Mercedes-Benz,EQS 450 4Matic (SUV),79,0,0,All-Wheel Drive,900,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,2023,EV,TBD,EQS,"$107,400",2
758,Porsche,911 Carrera GTS Cabriolet,17,448,6,Rear-Wheel Drive,3600,Premium,Manual 7-spd,Minicompact Cars,2023,Petrol,Not Electric,911,"$107,550",3
759,Lincoln,Aviator AWD,17,451,6,Part-time 4-Wheel Drive,2900,Regular,Automatic (S10),Standard Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Aviator,"$54,735",3
760,Tesla,Model Y Performance AWD,115,0,0,All-Wheel Drive,650,Electricity,Automatic (A1),Small Sport Utility Vehicle 4WD,2023,EV,133 and 179 kW AC 3-Phase,Model Y,"$55,000",2
761,Jeep,Renegade Trailhawk 4WD,22,372,4,All-Wheel Drive,2400,Regular,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Renegade,"$55,100",3
762,Chrysler,Pacifica AWD,17,450,6,All-Wheel Drive,2900,Regular,Automatic 9-spd,Minivan - 4WD,2023,Petrol,Not Electric,Pacifica,"$39,615",3
763,Jeep,Cherokee 4WD,21,370,4,All-Wheel Drive,2400,Regular,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Cherokee,"$28,635",3
764,Ford,Mustang HO Convertible,19,423,4,Rear-Wheel Drive,2750,Regular,Manual 6-spd,Subcompact Cars,2023,Petrol,Not Electric,Mustang,"$29,145",1
765,Toyota,Prius AWD XLE/LTD,49,179,4,Part-time 4-Wheel Drive,1200,Regular,Automatic (variable gear ratios),Midsize Cars,2023,Hybrid,222V Li-Ion,Prius,"$31,990",0
766,Ford,Escape AWD,26,317,3,All-Wheel Drive,2100,Regular,Automatic 8-spd,Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Escape,"$29,495",3
767,Ferrari,Monza SP1,12,658,12,Rear-Wheel Drive,5500,Premium,Automatic (AM7),Two Seaters,2023,Petrol,Not Electric,Monza SP1,"$1,800,000",1
768,Audi,Q4 e-tron quattro,97,0,0,All-Wheel Drive,750,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,2023,EV,TBD,Q4 e-tron,"$49,800",2
769,Ford,Maverick Tremor AWD,20,414,4,All-Wheel Drive,2750,Regular,Automatic 8-spd,Small Pickup Trucks 4WD,2023,Petrol,Not Electric,Maverick,"$31,145",0
770,Toyota,Corolla Hybrid AWD,51,183,4,All-Wheel Drive,1200,Regular,Automatic (variable gear ratios),Compact Cars,2023,Hybrid,207V Li-Ion,Corolla,"$22,800",3
771,Toyota,Highlander,21,370,4,Front-Wheel Drive,2400,Regular,Automatic (S8),Small Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Highlander,"$36,620",1
772,Acura,TLX Type-S Perf Tire,19,421,6,All-Wheel Drive,3400,Premium,Automatic (S10),Compact Cars,2023,Petrol,Not Electric,TLX,"$53,700",3
773,Nissan,Rogue AWD,28,287,3,All-Wheel Drive,1900,Regular,Automatic (AV-S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Rogue,"$1,824",3
774,Audi,A4 S-Line quattro,24,326,4,All-Wheel Drive,2650,Premium,Automatic (AM-S7),Compact Cars,2023,Hybrid,14V Li-Ion,A4,"$41,395",3
775,Volkswagen,Golf-R,20,382,4,All-Wheel Drive,3100,Premium,Manual 6-spd,Compact Cars,2023,Petrol,Not Electric,Golf/GTI,"$45,835",1
776,Volkswagen,Atlas 4motion,20,411,4,All-Wheel Drive,2650,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Atlas,"$36,445",1
777,Porsche,Panamera GTS ST,15,520,8,All-Wheel Drive,4200,Premium,Automatic (AM-S8),Large Cars,2023,Petrol,Not Electric,Panamera,"$178,702",3
778,Kia,Sorento AWD,23,366,4,All-Wheel Drive,2400,Regular,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Petrol,Not Electric,Sorento,"$30,090",1
779,Bentley,Continental GT Speed,12,610,12,All-Wheel Drive,4800,Premium,Automatic (AM-S8),Subcompact Cars,2023,Petrol,Not Electric,Continental,"$277,625",3
780,Audi,Q4 e-tron,112,0,0,Rear-Wheel Drive,700,Electricity,Automatic (A1),Small Sport Utility Vehicle 2WD,2023,EV,TBD,Q4 e-tron,"$50,995",2
781,Mercedes-Benz,EQS 450 Plus (SUV),87,0,0,Rear-Wheel Drive,800,Electricity,Automatic (A1),Standard Sport Utility Vehicle 2WD,2023,EV,TBD,EQS,"$104,400",2
782,Mercedes-Benz,C300 4matic,24,323,4,All-Wheel Drive,2650,Premium,Automatic 9-spd,Compact Cars,2023,Hybrid,48V Li-Ion,C-Class,"$46,000",3
783,Acura,TLX FWD A-SPEC,22,357,4,Front-Wheel Drive,2850,Premium,Automatic (S10),Compact Cars,2023,Petrol,Not Electric,TLX,"$39,850",3
784,Audi,TTS Coupe,23,337,4,All-Wheel Drive,2750,Premium,Automatic (AM-S7),Subcompact Cars,2023,Petrol,Not Electric,TTS Coupe,"$53,295",1
785,Chevrolet,Bolt EUV,125,0,0,Front-Wheel Drive,600,Electricity,Automatic (A1),Small Station Wagons,2023,EV,150 kW ACPM,Bolt EUV,$1000,2
786,Audi,A5 Sportback S-Line quattro,24,326,4,All-Wheel Drive,2650,Premium,Automatic (AM-S7),Midsize Cars,2023,Hybrid,14V Li-Ion,A5,"$45,695",3
787,Volvo,XC60 B6 AWD,21,375,4,All-Wheel Drive,3100,Premium,Automatic (S8),Small Sport Utility Vehicle 4WD,2023,Hybrid,46V Li-Ion,XC60,"$44,545",3
788,Ferrari,F8 Spider,15,552,8,Rear-Wheel Drive,4500,Premium,Automatic (AM7),Two Seaters,2023,Petrol,Not Electric,F8 Spider,"$328,292",1
789,Chevrolet,Traverse FWD,18,417,6,Front-Wheel Drive,2750,Regular,Automatic 9-spd,Standard Sport Utility Vehicle 2WD,2023,Petrol,Not Electric,Traverse,"$34,520",3
790,Kia,Stinger AWD,21,380,4,All-Wheel Drive,3000,Premium,Automatic (S8),Midsize Cars,2023,Petrol,Not Electric,Stinger,"$37,865",1
791,Rivian,R1T 21 inch Dual Large,82,0,0,Part-time 4-Wheel Drive,900,Electricity,Automatic (A1),Standard Pickup Trucks 4WD,2023,EV,418 kW ACPM,R1T,"$74,800",2
792,BMW,X2 sDrive28i,24,329,4,Front-Wheel Drive,2650,Premium,Automatic (S8),Midsize Cars,2023,Petrol,Not Electric,X2,"$37,595",1
793,Hyundai,Santa Fe Hybrid Blue,36,264,4,All-Wheel Drive,1700,Regular,Automatic (AM-S6),Small Sport Utility Vehicle 4WD,2023,Hybrid,270V Li-Ion,Santa Fe,"$35,738",0
794,Ford,Ranger Tremor 4WD,19,471,4,Part-time 4-Wheel Drive,3050,Regular,Automatic (S10),Standard Pickup Trucks 4WD,2023,Petrol,Not Electric,Ranger,"$28,895",0
795,Volvo,V60 T8 AWD Recharge ext. Range,30,99,4,All-Wheel Drive,2300,Premium and Electricity,Automatic (S8),Small Station Wagons,2023,Plug-in Hybrid,34 and 107 kW 3-phase Sync.,V60,"$1,824",0
796,Toyota,Prius AWD,53,163,4,Part-time 4-Wheel Drive,1100,Regular,Automatic (variable gear ratios),Midsize Cars,2023,Hybrid,222V Li-Ion,Prius,"$28,545",0
797,Ford,F-150 Lightning Platinum 4WD,73,0,0,All-Wheel Drive,1050,Electricity,Automatic (A1),Standard Pickup Trucks 4WD,2023,EV,210 and 210 kW AC PMSM,F-150 Lightning,"$51,990",2
798,Mercedes-Benz,AMG GT 63 4matic Plus,15,530,8,All-Wheel Drive,4200,Premium,Automatic 9-spd,Compact Cars,2023,Petrol,Not Electric,AMG GT,"$170,350",1
799,BMW,i4 eDrive40 Gran Coupe (18 inch wheels),109,0,0,Rear-Wheel Drive,700,Electricity,Automatic (A1),Subcompact Cars,2023,EV,TBD,i4,"$52,995",2
800,Porsche,718 Spyder,18,436,6,Rear-Wheel Drive,3600,Premium,Automatic (AM-S7),Two Seaters,2023,Petrol,Not Electric,718,"$106,200",1
801,Porsche,718 Cayman T,20,394,4,Rear-Wheel Drive,3250,Premium,Manual 6-spd,Two Seaters,2023,Petrol,Not Electric,718,"$64,850",1
802,Honda,Ridgeline AWD,18,441,6,All-Wheel Drive,2750,Regular,Automatic (S9),Standard Pickup Trucks 4WD,2023,Petrol,Not Electric,Ridgeline,"$40,195",3
803,Volkswagen,Arteon 4motion,22,347,4,All-Wheel Drive,2850,Premium,Automatic (AM7),Large Cars,2023,Petrol,Not Electric,Arteon,"$43,010",3
804,Land Rover,New Range Rover Sport P400 MHEV,18,427,6,4-Wheel Drive,3400,Premium,Automatic (S8),Standard Sport Utility Vehicle 4WD,2023,Hybrid,48V Li-Ion,Range Rover,"$84,475",3
805,Dodge,Challenger,14,523,8,Rear-Wheel Drive,4200,Premium,Manual 6-spd,Midsize Cars,2023,Petrol,Not Electric,Challenger,"$30,545",1
806,Rivian,R1T 22 inch Performance Dual Large,80,0,0,Part-time 4-Wheel Drive,950,Electricity,Automatic (A1),Standard Pickup Trucks 4WD,2023,EV,496 kW ACPM,R1T,"$74,800",2
807,Lucid,Air G Touring XR AWD with 19 inch wheels,130,0,0,All-Wheel Drive,550,Electricity,Automatic (A1),Large Cars,2023,EV,370 and 459kW ACPM,Air,"$69,900",2
808,Ford,Mustang Convertible,15,497,8,Rear-Wheel Drive,3250,Regular,Automatic (S10),Subcompact Cars,2023,Petrol,Not Electric,Mustang,"$29,145",1
